date,state,cases,deaths
2020-03-18,Montengro,2,0
2020-03-19,Montengro,6,0
2020-03-20,Montengro,5,0
2020-03-21,Montengro,1,0
2020-03-22,Montengro,0,0
2020-03-23,Montengro,7,0
2020-03-24,Montengro,6,0
2020-03-25,Montengro,20,0
2020-03-26,Montengro,6,0
2020-03-27,Montengro,14,1
2020-03-28,Montengro,8,0
2020-03-29,Montengro,9,0
2020-03-30,Montengro,1,0
2020-03-31,Montengro,6,0
2020-04-01,Montengro,18,0
2020-04-02,Montengro,14,0
2020-04-03,Montengro,21,1
2020-04-04,Montengro,30,0
2020-04-05,Montengro,27,0
2020-04-06,Montengro,13,0
2020-04-07,Montengro,19,0
2020-04-08,Montengro,8,0
2020-04-09,Montengro,8,0
2020-04-10,Montengro,3,0
2020-04-11,Montengro,5,0
2020-04-12,Montengro,6,0
2020-04-13,Montengro,9,1
2020-04-14,Montengro,2,0
2020-04-15,Montengro,9,1
2020-04-16,Montengro,5,0
2020-04-17,Montengro,15,0
2020-04-18,Montengro,0,0
2020-04-19,Montengro,4,1
2020-04-20,Montengro,1,0
2020-04-21,Montengro,4,0
2020-04-22,Montengro,1,0
2020-04-23,Montengro,2,0
2020-04-24,Montengro,4,0
2020-04-25,Montengro,0,1
2020-04-26,Montengro,1,0
2020-04-27,Montengro,1,1
2020-04-28,Montengro,0,0
2020-04-29,Montengro,0,0
2020-04-30,Montengro,1,0
2020-05-01,Montengro,0,0
2020-05-02,Montengro,0,0
2020-05-03,Montengro,0,0
2020-05-04,Montengro,0,1
2020-05-05,Montengro,1,0
2020-05-06,Montengro,1,0
2020-05-07,Montengro,0,0
2020-05-08,Montengro,0,0
2020-05-09,Montengro,0,0
2020-05-10,Montengro,0,0
2020-05-11,Montengro,0,1
2020-05-12,Montengro,0,0
2020-05-13,Montengro,0,0
2020-05-14,Montengro,0,0
2020-05-15,Montengro,0,0
2020-05-16,Montengro,0,0
2020-05-17,Montengro,0,0
2020-05-18,Montengro,0,0
2020-05-19,Montengro,0,0
2020-05-20,Montengro,0,0
2020-05-21,Montengro,0,0
2020-05-22,Montengro,0,0
2020-05-23,Montengro,0,0
2020-05-24,Montengro,0,0
2020-05-25,Montengro,0,0
2020-05-26,Montengro,0,0
2020-05-27,Montengro,0,0
2020-05-28,Montengro,0,0
2020-05-29,Montengro,0,0
2020-05-30,Montengro,0,0
2020-05-31,Montengro,0,0
2020-06-01,Montengro,0,0
2020-06-02,Montengro,0,0
2020-06-03,Montengro,0,0
2020-06-04,Montengro,0,0
2020-06-05,Montengro,0,0
2020-06-06,Montengro,0,0
2020-06-07,Montengro,0,0
2020-06-08,Montengro,0,0
2020-06-09,Montengro,0,0
2020-06-10,Montengro,0,0
2020-06-11,Montengro,0,0
2020-06-12,Montengro,0,0
2020-06-13,Montengro,0,0
2020-06-14,Montengro,0,0
2020-06-15,Montengro,1,0
2020-06-16,Montengro,1,0
2020-06-17,Montengro,0,0
2020-06-18,Montengro,7,0
2020-06-19,Montengro,4,0
2020-06-20,Montengro,18,0
2020-06-21,Montengro,4,0
2020-06-22,Montengro,3,0
2020-06-23,Montengro,5,0
2020-06-24,Montengro,11,0
2020-06-25,Montengro,11,0
2020-06-26,Montengro,25,0
2020-06-27,Montengro,25,0
2020-06-28,Montengro,30,0
2020-06-29,Montengro,12,2
2020-06-30,Montengro,20,0
2020-07-01,Montengro,47,1
2020-07-02,Montengro,28,0
2020-07-03,Montengro,40,1
2020-07-04,Montengro,47,0
2020-07-05,Montengro,57,1
2020-07-06,Montengro,61,0
2020-07-07,Montengro,60,0
2020-07-08,Montengro,66,3
2020-07-09,Montengro,53,0
2020-07-10,Montengro,59,2
2020-07-11,Montengro,58,0
2020-07-12,Montengro,87,4
2020-07-13,Montengro,57,0
2020-07-14,Montengro,232,1
2020-07-15,Montengro,69,1
2020-07-16,Montengro,60,0
2020-07-17,Montengro,36,1
2020-07-18,Montengro,0,0
2020-07-19,Montengro,46,2
2020-07-20,Montengro,107,2
2020-07-21,Montengro,90,2
2020-07-22,Montengro,59,3
2020-07-23,Montengro,17,0
2020-07-24,Montengro,324,4
2020-07-25,Montengro,308,1
2020-07-26,Montengro,0,0
2020-07-27,Montengro,0,0
2020-07-28,Montengro,324,3
2020-07-29,Montengro,56,2
2020-07-30,Montengro,67,2
2020-07-31,Montengro,57,1
2020-08-01,Montengro,39,1
2020-08-02,Montengro,86,1
2020-08-03,Montengro,60,1
2020-08-04,Montengro,43,1
2020-08-05,Montengro,60,1
2020-08-06,Montengro,50,4
2020-08-07,Montengro,69,3
2020-08-08,Montengro,69,1
2020-08-09,Montengro,39,1
2020-08-10,Montengro,30,2
2020-08-11,Montengro,78,4
2020-08-12,Montengro,52,3
2020-08-13,Montengro,65,2
2020-08-14,Montengro,44,0
2020-08-15,Montengro,73,0
2020-08-16,Montengro,30,2
2020-08-17,Montengro,75,2
2020-08-18,Montengro,50,3
2020-08-19,Montengro,47,0
2020-08-20,Montengro,42,0
2020-08-21,Montengro,55,1
2020-08-22,Montengro,48,1
2020-08-23,Montengro,34,2
2020-08-24,Montengro,32,0
2020-08-25,Montengro,35,0
2020-08-26,Montengro,66,3
2020-08-27,Montengro,55,1
2020-08-28,Montengro,59,1
2020-08-29,Montengro,105,3
2020-08-30,Montengro,64,1
2020-08-31,Montengro,63,5
2020-09-01,Montengro,45,2
2020-09-02,Montengro,82,2
2020-09-03,Montengro,102,2
2020-09-04,Montengro,146,0
2020-09-05,Montengro,110,2
2020-09-06,Montengro,147,1
2020-09-07,Montengro,131,1
2020-09-08,Montengro,106,1
2020-09-09,Montengro,216,3
2020-09-10,Montengro,219,2
2020-09-11,Montengro,128,0
2020-09-12,Montengro,163,1
2020-09-13,Montengro,145,3
2020-09-14,Montengro,182,2
2020-09-15,Montengro,188,1
2020-09-16,Montengro,161,2
2020-09-17,Montengro,230,3
2020-09-18,Montengro,212,3
2020-09-19,Montengro,208,4
2020-09-20,Montengro,187,1
2020-09-21,Montengro,714,2
2020-09-22,Montengro,230,2
2020-09-23,Montengro,296,8
2020-09-24,Montengro,290,5
2020-09-25,Montengro,289,3
2020-09-26,Montengro,245,1
2020-09-27,Montengro,235,3
2020-09-28,Montengro,116,0
2020-09-29,Montengro,134,5
2020-09-30,Montengro,197,5
2020-10-01,Montengro,215,1
2020-10-02,Montengro,130,2
2020-10-03,Montengro,244,2
2020-10-04,Montengro,193,5
2020-10-05,Montengro,232,3
2020-10-06,Montengro,225,6
2020-10-07,Montengro,210,2
2020-10-08,Montengro,210,1
2020-10-09,Montengro,,
