date,country,cases,deaths,dcases,ddeaths
2020-03-11,Montenegro,0,0,0,0
2020-03-12,Montenegro,0,0,0,0
2020-03-13,Montenegro,0,0,0,0
2020-03-14,Montenegro,0,0,0,0
2020-03-15,Montenegro,0,0,0,0
2020-03-16,Montenegro,0,0,0,0
2020-03-17,Montenegro,2,0,2,0
2020-03-18,Montenegro,8,0,6,0
2020-03-19,Montenegro,13,0,5,0
2020-03-20,Montenegro,14,0,1,0
2020-03-21,Montenegro,16,0,2,0
2020-03-22,Montenegro,22,1,6,1
2020-03-23,Montenegro,29,1,7,0
2020-03-24,Montenegro,51,1,22,0
2020-03-25,Montenegro,66,1,15,0
2020-03-26,Montenegro,70,1,4,0
2020-03-27,Montenegro,82,1,12,0
2020-03-28,Montenegro,85,1,3,0
2020-03-29,Montenegro,91,2,6,1
2020-03-30,Montenegro,105,2,14,0
2020-03-31,Montenegro,120,2,15,0
2020-04-01,Montenegro,140,2,20,0
2020-04-02,Montenegro,160,2,20,0
2020-04-03,Montenegro,197,2,37,0
2020-04-04,Montenegro,203,2,6,0
2020-04-05,Montenegro,223,2,20,0
2020-04-06,Montenegro,239,2,16,0
2020-04-07,Montenegro,248,2,9,0
2020-04-08,Montenegro,252,2,4,0
2020-04-09,Montenegro,255,2,3,0
2020-04-10,Montenegro,262,2,7,0
2020-04-11,Montenegro,267,2,5,0
2020-04-12,Montenegro,273,3,6,1
2020-04-13,Montenegro,278,4,5,1
2020-04-14,Montenegro,288,4,10,0
2020-04-15,Montenegro,290,4,2,0
2020-04-16,Montenegro,303,4,13,0
2020-04-17,Montenegro,305,5,2,1
2020-04-18,Montenegro,308,5,3,0
2020-04-19,Montenegro,311,5,3,0
2020-04-20,Montenegro,313,5,2,0
2020-04-21,Montenegro,314,5,1,0
2020-04-22,Montenegro,316,5,2,0
2020-04-23,Montenegro,319,5,3,0
2020-04-24,Montenegro,319,6,0,1
2020-04-25,Montenegro,321,6,2,0
2020-04-26,Montenegro,321,7,0,1
2020-04-27,Montenegro,321,7,0,0
2020-04-28,Montenegro,321,7,0,0
2020-04-29,Montenegro,322,7,1,0
2020-04-30,Montenegro,322,7,0,0
2020-05-01,Montenegro,322,7,0,0
2020-05-02,Montenegro,322,8,0,1
2020-05-03,Montenegro,323,8,1,0
2020-05-04,Montenegro,324,8,1,0
2020-05-05,Montenegro,324,8,0,0
2020-05-06,Montenegro,324,8,0,0
2020-05-07,Montenegro,324,8,0,0
2020-05-08,Montenegro,324,8,0,0
2020-05-09,Montenegro,324,9,0,1
2020-05-10,Montenegro,324,9,0,0
2020-05-11,Montenegro,324,9,0,0
