date,cases
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,2
2020-03-18,6
2020-03-19,5
2020-03-20,1
2020-03-21,2
2020-03-22,6
2020-03-23,7
2020-03-24,22
2020-03-25,15
2020-03-26,4
2020-03-27,12
2020-03-28,3
2020-03-29,6
2020-03-30,14
2020-03-31,15
2020-04-01,20
2020-04-02,20
2020-04-03,37
2020-04-04,6
2020-04-05,20
2020-04-06,16
2020-04-07,9
2020-04-08,4
2020-04-09,3
2020-04-10,7
2020-04-11,5
2020-04-12,6
2020-04-13,5
2020-04-14,10
2020-04-15,2
2020-04-16,13
2020-04-17,2
2020-04-18,3
2020-04-19,3
2020-04-20,2
2020-04-21,1
2020-04-22,2
2020-04-23,3
2020-04-24,0
2020-04-25,2
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,1
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,1
2020-05-04,1
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,1
2020-06-15,1
2020-06-16,0
2020-06-17,7
2020-06-18,4
2020-06-19,17
2020-06-20,4
2020-06-21,3
2020-06-22,6
2020-06-23,16
2020-06-24,12
2020-06-25,29
2020-06-26,25
2020-06-27,26
2020-06-28,23
2020-06-29,28
2020-06-30,28
2020-07-01,56
2020-07-02,43
2020-07-03,55
2020-07-04,34
2020-07-05,151
2020-07-06,130
2020-07-07,174
2020-07-08,184
2020-07-09,134
2020-07-10,108
2020-07-11,52
2020-07-12,51
2020-07-13,37
2020-07-14,105
2020-07-15,70
2020-07-16,59
2020-07-17,40
2020-07-18,97
2020-07-19,134
2020-07-20,111
2020-07-21,91
2020-07-22,97
2020-07-23,72
2020-07-24,86
2020-07-25,69
2020-07-26,55
2020-07-27,85
2020-07-28,63
2020-07-29,66
2020-07-30,46
2020-07-31,73
2020-08-01,69
2020-08-02,27
2020-08-03,46
2020-08-04,60
2020-08-05,54
2020-08-06,80
2020-08-07,48
2020-08-08,41
2020-08-09,55
2020-08-10,49
2020-08-11,62
2020-08-12,59
2020-08-13,46
2020-08-14,80
2020-08-15,53
2020-08-16,45
2020-08-17,44
2020-08-18,51
2020-08-19,58
2020-08-20,38
2020-08-21,41
2020-08-22,25
2020-08-23,43
2020-08-24,33
2020-08-25,75
2020-08-26,59
2020-08-27,94
2020-08-28,71
2020-08-29,89
2020-08-30,40
2020-08-31,88
2020-09-01,72
2020-09-02,125
2020-09-03,123
2020-09-04,154
2020-09-05,139
2020-09-06,87
2020-09-07,248
2020-09-08,172
2020-09-09,140
2020-09-10,169
2020-09-11,140
2020-09-12,351
2020-09-13,348
2020-09-14,334
2020-09-15,174
2020-09-16,202
2020-09-17,201
2020-09-18,233
2020-09-19,284
2020-09-20,238
2020-09-21,199
2020-09-22,320
2020-09-23,269
2020-09-24,279
2020-09-25,196
2020-09-26,255
2020-09-27,212
2020-09-28,371
2020-09-29,266
2020-09-30,247
2020-10-01,203
2020-10-02,186
2020-10-03,241
2020-10-04,165
2020-10-05,259
2020-10-06,192
2020-10-07,218
2020-10-08,279
2020-10-09,362
2020-10-10,203
2020-10-11,223
2020-10-12,288
2020-10-13,462
2020-10-14,319
2020-10-15,221
2020-10-16,233
2020-10-17,84
2020-10-18,139
2020-10-19,118
2020-10-20,180
2020-10-21,164
2020-10-22,155
2020-10-23,189
2020-10-24,194
2020-10-25,138
2020-10-26,82
2020-10-27,236
2020-10-28,344
2020-10-29,344
2020-10-30,192
2020-10-31,275
2020-11-01,373
2020-11-02,496
2020-11-03,767
2020-11-04,874
2020-11-05,682
2020-11-06,546
2020-11-07,300
2020-11-08,426
2020-11-09,803
2020-11-10,546
2020-11-11,711
2020-11-12,644
2020-11-13,600
2020-11-14,577
2020-11-15,491
2020-11-16,596
2020-11-17,619
2020-11-18,639
2020-11-19,546
